Age Group,2011-2013,2012-2014
,,
0 year,82.4,82.5
1 year,81.7,81.8
2 years,80.7,80.8
3 years,79.7,79.9
4 years,78.7,78.9
5 years,77.7,77.9
6 years,76.7,76.9
7 years,75.7,75.9
8 years,74.8,74.9
9 years,73.8,73.9
10 years,72.8,72.9
11 years,71.8,71.9
12 years,70.8,70.9
13 years,69.8,69.9
14 years,68.8,68.9
15 years,67.8,67.9
16 years,66.8,66.9
17 years,65.8,66
18 years,64.8,65
19 years,63.9,64
20 years,62.9,63
21 years,61.9,62.1
22 years,61,61.1
23 years,60,60.1
24 years,59,59.2
25 years,58.1,58.2
26 years,57.1,57.2
27 years,56.1,56.2
28 years,55.2,55.3
29 years,54.2,54.3
30 years,53.2,53.3
31 years,52.3,52.4
32 years,51.3,51.4
33 years,50.3,50.5
34 years,49.4,49.5
35 years,48.4,48.5
36 years,47.4,47.6
37 years,46.5,46.6
38 years,45.5,45.6
39 years,44.5,44.7
40 years,43.6,43.7
41 years,42.6,42.8
42 years,41.7,41.8
43 years,40.7,40.8
44 years,39.8,39.9
45 years,38.8,39
46 years,37.9,38
47 years,37,37.1
48 years,36,36.2
49 years,35.1,35.2
50 years,34.2,34.3
,,
,,
,,
,,
,,
,,
,,
#Age group,,
0 year,,
1 year,,
2 years,,
3 years,,
4 years,,
5 years,,
6 years,,
7 years,,
8 years,,
9 years,,
10 years,,
11 years,,
12 years,,
13 years,,
14 years,,
15 years,,
16 years,,
17 years,,
18 years,,
19 years,,
20 years,,
21 years,,
22 years,,
23 years,,
24 years,,
25 years,,
26 years,,
27 years,,
28 years,,
29 years,,
30 years,,
31 years,,
32 years,,
33 years,,
34 years,,
35 years,,
36 years,,
37 years,,
38 years,,
39 years,,
40 years,,
41 years,,
42 years,,
43 years,,
44 years,,
45 years,,
46 years,,
47 years,,
48 years,,
49 years,,
50 years,,
,,
#x.2011.2013,,
82.4,,
81.7,,
80.7,,
79.7,,
78.7,,
77.7,,
76.7,,
75.7,,
74.8,,
73.8,,
72.8,,
71.8,,
70.8,,
69.8,,
68.8,,
67.8,,
66.8,,
65.8,,
64.8,,
63.9,,
62.9,,
61.9,,
61,,
60,,
59,,
58.1,,
57.1,,
56.1,,
55.2,,
54.2,,
53.2,,
52.3,,
51.3,,
50.3,,
49.4,,
48.4,,
47.4,,
46.5,,
45.5,,
44.5,,
43.6,,
42.6,,
41.7,,
40.7,,
39.8,,
38.8,,
37.9,,
37,,
36,,
35.1,,
34.2,,
,,
#x.2012.2014,,
82.5,,
81.8,,
80.8,,
79.9,,
78.9,,
77.9,,
76.9,,
75.9,,
74.9,,
73.9,,
72.9,,
71.9,,
70.9,,
69.9,,
68.9,,
67.9,,
66.9,,
66,,
65,,
64,,
63,,
62.1,,
61.1,,
60.1,,
59.2,,
58.2,,
57.2,,
56.2,,
55.3,,
54.3,,
53.3,,
52.4,,
51.4,,
50.5,,
49.5,,
48.5,,
47.6,,
46.6,,
45.6,,
44.7,,
43.7,,
42.8,,
41.8,,
40.8,,
39.9,,
39,,
38,,
37.1,,
36.2,,
35.2,,
34.3,,
